Run time in 2025-04-30_16-46-04, Model:model_ourv3_resnext更新内容：实验-model_ourv3_resnext
Current Configuration:
            Model Name: model_ourv3_resnext
            Parameters: 35.082M
            FLOPs: 16.075G
            Depth Multiplier: 3
            Expansion: 2
            Start Epoch: 0
            Total Epochs: 60
            Input Shape: [256, 256]
            Batch Size: 32
            Workers Per Process: 16
            Learning Rate: 0.0001
            Weight Decay: 0.001
            Gradient Clip: 5
            Data Paths:
                Training: ./data/DvXray_train.txt
                Validation: ./data/DvXray_val.txt
            Evaluation Mode: False
            Checkpoint: None
            EMA: True
            Mixed Precision: True
            Alpha: 0.7
            Distributed Training: True
            World Size: 2
Epoch 30, lr:5.399e-05, train_loss:2.767e-02, val_mAP: 0.8335, val_precision:0.8606, val_recall:0.6933, val_f1_score:0.7376, val_ROC:0.9714, val_loss:3.9488e-02
Epoch 31, lr:5.136e-05, train_loss:2.612e-02, val_mAP: 0.8156, val_precision:0.8718, val_recall:0.6952, val_f1_score:0.7500, val_ROC:0.9617, val_loss:3.7144e-02
Epoch 32, lr:4.872e-05, train_loss:2.591e-02, val_mAP: 0.8549, val_precision:0.9282, val_recall:0.7121, val_f1_score:0.7981, val_ROC:0.9767, val_loss:3.0071e-02
Epoch 33, lr:4.609e-05, train_loss:2.440e-02, val_mAP: 0.8542, val_precision:0.9240, val_recall:0.6683, val_f1_score:0.7476, val_ROC:0.9770, val_loss:3.5896e-02
Epoch 34, lr:4.348e-05, train_loss:2.335e-02, val_mAP: 0.8753, val_precision:0.9445, val_recall:0.7252, val_f1_score:0.8018, val_ROC:0.9791, val_loss:2.9491e-02
Epoch 35, lr:4.089e-05, train_loss:2.375e-02, val_mAP: 0.8701, val_precision:0.9110, val_recall:0.7363, val_f1_score:0.8086, val_ROC:0.9815, val_loss:2.8007e-02
Epoch 36, lr:3.832e-05, train_loss:2.339e-02, val_mAP: 0.8602, val_precision:0.8851, val_recall:0.7388, val_f1_score:0.7925, val_ROC:0.9775, val_loss:2.9371e-02
Epoch 37, lr:3.580e-05, train_loss:2.249e-02, val_mAP: 0.8610, val_precision:0.8985, val_recall:0.7519, val_f1_score:0.8119, val_ROC:0.9774, val_loss:2.9297e-02
Epoch 38, lr:3.331e-05, train_loss:2.141e-02, val_mAP: 0.8847, val_precision:0.9405, val_recall:0.7137, val_f1_score:0.8045, val_ROC:0.9858, val_loss:2.7620e-02
Epoch 39, lr:3.088e-05, train_loss:2.120e-02, val_mAP: 0.8746, val_precision:0.8930, val_recall:0.7823, val_f1_score:0.8270, val_ROC:0.9825, val_loss:2.5975e-02
Epoch 40, lr:2.850e-05, train_loss:2.056e-02, val_mAP: 0.8657, val_precision:0.9189, val_recall:0.7589, val_f1_score:0.8222, val_ROC:0.9772, val_loss:2.7072e-02
Epoch 41, lr:2.618e-05, train_loss:2.051e-02, val_mAP: 0.8608, val_precision:0.9201, val_recall:0.7421, val_f1_score:0.8102, val_ROC:0.9769, val_loss:2.8469e-02
Epoch 42, lr:2.393e-05, train_loss:1.935e-02, val_mAP: 0.8643, val_precision:0.9144, val_recall:0.7458, val_f1_score:0.8106, val_ROC:0.9798, val_loss:2.7785e-02
Epoch 43, lr:2.176e-05, train_loss:1.931e-02, val_mAP: 0.8669, val_precision:0.9109, val_recall:0.7442, val_f1_score:0.8076, val_ROC:0.9801, val_loss:2.8142e-02
Epoch 44, lr:1.967e-05, train_loss:1.844e-02, val_mAP: 0.8590, val_precision:0.9298, val_recall:0.7278, val_f1_score:0.8037, val_ROC:0.9779, val_loss:2.9361e-02
